No,Unit,Time,dir,CMD,q,w,Resp,Errorcode
34280,BRM800,2024040818:08:12.134,Send,46,,,,
34281,BRM800,2024040818:08:16.068,Recv,46,,,4F,
34282,BRM800,2024040818:08:17.456,Send,39,,,,
34283,BRM800,2024040818:08:23.225,Recv,39,,,4F,
34284,BRM800,2024040818:12:20.420,Send,31,,,,
34285,BRM800,2024040818:12:22.507,Recv,31,,,4F,
34286,BRM800,2024040818:12:22.826,Send,45,,,,
34287,BRM800,2024040818:12:24.927,Recv,45,,,4F,
34288,BRM800,2024040818:12:29.888,Send,46,,,,
34289,BRM800,2024040818:12:33.819,Recv,46,,,4F,
34290,BRM800,2024040818:12:34.264,Send,32,,,,
34291,BRM800,2024040818:12:39.599,Recv,32,,,4F,
34292,BRM800,2024040818:12:45.023,Send,33,,,,
34293,BRM800,2024040818:12:51.214,Recv,33,,,4F,
34294,BRM800,2024040818:12:51.710,Send,39,,,,
34295,BRM800,2024040818:12:59.325,Recv,39,,,4F,
34296,BRM800,2024040818:36:56.037,Send,31,,,,
34297,BRM800,2024040818:36:58.122,Recv,31,,,4F,
34298,BRM800,2024040818:36:58.528,Send,45,,,,
34299,BRM800,2024040818:37:00.570,Recv,45,,,4F,
34300,BRM800,2024040818:37:03.560,Send,46,,,,
34301,BRM800,2024040818:37:07.494,Recv,46,,,4F,
34302,BRM800,2024040818:37:08.002,Send,32,,,,
34303,BRM800,2024040818:37:24.313,Recv,32,,,4F,
34304,BRM800,2024040818:37:25.534,Send,45,,,,
34305,BRM800,2024040818:37:27.281,Recv,45,,,4F,
34306,BRM800,2024040818:37:28.619,Send,46,,,,
34307,BRM800,2024040818:37:32.585,Recv,46,,,4F,
34308,BRM800,2024040818:37:35.996,Send,31,,,,
34309,BRM800,2024040818:37:39.725,Recv,31,,,4F,
34310,BRM800,2024040818:37:39.873,Send,45,,,,
34311,BRM800,2024040818:37:41.913,Recv,45,,,4F,
34312,BRM800,2024040818:37:43.450,Send,46,,,,
34313,BRM800,2024040818:37:47.390,Recv,46,,,4F,
34314,BRM800,2024040818:37:47.950,Send,32,,,,
34315,BRM800,2024040818:37:53.237,Recv,32,,,4F,
34316,BRM800,2024040818:38:02.157,Send,33,,,,
34317,BRM800,2024040818:38:10.530,Recv,33,,,4F,
34318,BRM800,2024040818:38:11.309,Send,39,,,,
34319,BRM800,2024040818:38:18.877,Recv,39,,,4F,
34320,BRM800,2024040818:39:42.925,Send,46,,,,
34321,BRM800,2024040818:39:44.057,Recv,46,,,4F,
34322,BRM800,2024040818:39:44.186,Send,37,,,,
34323,BRM800,2024040818:39:52.432,Recv,37,,,4F,
34324,BRM800,2024040818:39:53.600,Send,45,,,,
34325,BRM800,2024040818:39:55.801,Recv,45,,,4F,
34326,BRM800,2024040818:39:57.125,Send,46,,,,
34327,BRM800,2024040818:40:01.061,Recv,46,,,4F,
34328,BRM800,2024040818:40:01.194,Send,39,,,,
34329,BRM800,2024040818:40:08.076,Recv,39,,,4F,
34330,BRM800,2024040818:45:03.207,Send,46,,,,
34331,BRM800,2024040818:45:04.337,Recv,46,,,4F,
34332,BRM800,2024040818:45:04.470,Send,37,,,,
34333,BRM800,2024040818:45:13.199,Recv,37,,,4F,
34334,BRM800,2024040818:45:14.304,Send,45,,,,
34335,BRM800,2024040818:45:16.499,Recv,45,,,4F,
34336,BRM800,2024040818:45:17.843,Send,46,,,,
34337,BRM800,2024040818:45:21.792,Recv,46,,,4F,
34338,BRM800,2024040818:45:21.933,Send,39,,,,
34339,BRM800,2024040818:45:28.795,Recv,39,,,4F,
34340,BRM800,2024040818:51:03.807,Send,31,,,,
34341,BRM800,2024040818:51:05.902,Recv,31,,,4F,
34342,BRM800,2024040818:51:06.310,Send,45,,,,
34343,BRM800,2024040818:51:08.350,Recv,45,,,4F,
34344,BRM800,2024040818:51:10.915,Send,46,,,,
34345,BRM800,2024040818:51:14.860,Recv,46,,,4F,
34346,BRM800,2024040818:51:15.324,Send,32,,,,
34347,BRM800,2024040818:51:20.434,Recv,32,,,4F,
34348,BRM800,2024040818:51:25.817,Send,33,,,,
34349,BRM800,2024040818:51:31.710,Recv,33,,,4F,
34350,BRM800,2024040818:51:32.452,Send,39,,,,
34351,BRM800,2024040818:51:40.162,Recv,39,,,4F,
34352,BRM800,2024040819:05:10.065,Send,46,,,,
34353,BRM800,2024040819:05:11.199,Recv,46,,,4F,
34354,BRM800,2024040819:05:11.334,Send,37,,,,
34355,BRM800,2024040819:05:25.423,Recv,37,,,4F,
34356,BRM800,2024040819:05:26.745,Send,45,,,,
34357,BRM800,2024040819:05:28.915,Recv,45,,,4F,
34358,BRM800,2024040819:05:30.358,Send,46,,,,
34359,BRM800,2024040819:05:34.293,Recv,46,,,4F,
34360,BRM800,2024040819:05:34.428,Send,39,,,,
34361,BRM800,2024040819:05:41.923,Recv,39,,,4F,
34362,BRM800,2024040819:47:09.817,Send,31,,,,
34363,BRM800,2024040819:47:11.902,Recv,31,,,4F,
34364,BRM800,2024040819:47:12.310,Send,45,,,,
34365,BRM800,2024040819:47:14.373,Recv,45,,,4F,
34366,BRM800,2024040819:47:16.975,Send,46,,,,
34367,BRM800,2024040819:47:20.921,Recv,46,,,4F,
34368,BRM800,2024040819:47:21.346,Send,32,,,,
34369,BRM800,2024040819:47:42.946,Recv,32,,,4F,
34370,BRM800,2024040819:47:44.514,Send,45,,,,
34371,BRM800,2024040819:47:46.250,Recv,45,,,4F,
34372,BRM800,2024040819:47:47.040,Send,46,,,,
34373,BRM800,2024040819:47:50.977,Recv,46,,,4F,
34374,BRM800,2024040819:47:54.888,Send,31,,,,
34375,BRM800,2024040819:47:58.625,Recv,31,,,4F,
34376,BRM800,2024040819:47:58.771,Send,45,,,,
34377,BRM800,2024040819:48:00.809,Recv,45,,,4F,
34378,BRM800,2024040819:48:02.337,Send,46,,,,
34379,BRM800,2024040819:48:06.265,Recv,46,,,4F,
34380,BRM800,2024040819:48:06.803,Send,32,,,,
34381,BRM800,2024040819:48:26.387,Recv,32,,,4F,
34382,BRM800,2024040819:48:27.552,Send,45,,,,
34383,BRM800,2024040819:48:29.289,Recv,45,,,4F,
34384,BRM800,2024040819:48:30.120,Send,46,,,,
34385,BRM800,2024040819:48:34.070,Recv,46,,,4F,
34386,BRM800,2024040819:48:37.771,Send,33,,,,
34387,BRM800,2024040819:48:56.416,Recv,33,,,4F,
34388,BRM800,2024040819:48:57.712,Send,39,,,,
34389,BRM800,2024040819:49:05.586,Recv,39,,,4F,
34390,BRM800,2024040819:49:35.992,Send,31,,,,
34391,BRM800,2024040819:49:38.077,Recv,31,,,4F,
34392,BRM800,2024040819:49:38.532,Send,45,,,,
34393,BRM800,2024040819:49:40.641,Recv,45,,,4F,
34394,BRM800,2024040819:49:42.465,Send,46,,,,
34395,BRM800,2024040819:49:46.393,Recv,46,,,4F,
34396,BRM800,2024040819:49:46.855,Send,32,,,,
34397,BRM800,2024040819:49:57.721,Recv,32,,,4F,
34398,BRM800,2024040819:50:04.450,Send,31,,,,
34399,BRM800,2024040819:50:08.780,Recv,31,,,4F,
34400,BRM800,2024040819:50:08.921,Send,45,,,,
34401,BRM800,2024040819:50:10.962,Recv,45,,,4F,
34402,BRM800,2024040819:50:17.200,Send,46,,,,
34403,BRM800,2024040819:50:21.136,Recv,46,,,4F,
34404,BRM800,2024040819:50:21.664,Send,32,,,,
